job_id,title,company_profile,description,requirements,benefits,location,employment_type,required_experience,required_education,industry,function,telecommuting,has_company_logo,has_questions,fraudulent
1861,Get Paid To Take Surveys,"Join our team of 10,000+ successful members worldwide!",BE YOUR OWN BOSS!! Join our exclusive network marketing team and earn passive income. We are expanding globally and need team leaders. There is NO LIMIT to what you can earn!! Invest just $50 to get started and watch your income MULTIPLY every week!!,Just need to be motivated! No degree required. Must be able to follow simple instructions. Basic computer skills helpful but not required.,,Anywhere,,Entry level,High School,,Sales,1,0,1,1
354,Sales Executive,Catalyst Innovations is a leading technology company established in 2008 with a team of 1583 professionals.,"An exciting opportunity for a talented Sales Executive to join our engineering team. You will architect and develop solutions for complex business problems, mentor junior team members, and contribute to best practices and coding standards.",Proven experience in a similar role. Strong portfolio demonstrating past work. Familiarity with agile methodologies. Experience with version control systems like Git. Ability to work in a fast-paced environment.,"Competitive salary and performance bonuses. Health, dental, and vision insurance. Flexible working hours and remote options. Professional development budget. Annual paid leave and sick days.","Pune, India",Internship,Not Applicable,High School,Healthcare,Sales,1,1,1,0
1334,Mobile Developer,Quantum Dynamics is a leading technology company established in 2004 with a team of 260 professionals.,"Join our growing team as a Mobile Developer. In this role, you will work closely with stakeholders to deliver high-quality products. You will participate in the full software development lifecycle, from requirements gathering to deployment and maintenance.",Minimum 3 years of experience in the relevant domain. Proficiency with relevant tools and frameworks. Strong debugging and testing skills. Good understanding of software design patterns. Willingness to learn new technologies.,"Competitive salary and performance bonuses. Health, dental, and vision insurance. Flexible working hours and remote options. Professional development budget. Annual paid leave and sick days.","San Francisco, CA",Full-time,Director,Doctorate,Finance,Finance,0,1,1,0
906,Financial Analyst,NexGen Software is a leading technology company established in 2016 with a team of 690 professionals.,"An exciting opportunity for a talented Financial Analyst to join our engineering team. You will architect and develop solutions for complex business problems, mentor junior team members, and contribute to best practices and coding standards.",Master's or Bachelor's degree in a technical field. 2-5 years of industry experience. Hands-on experience with cloud platforms (AWS/GCP/Azure). Strong understanding of data structures and algorithms. Team player with good interpersonal skills.,"Competitive salary and performance bonuses. Health, dental, and vision insurance. Flexible working hours and remote options. Professional development budget. Annual paid leave and sick days.","Berlin, Germany",Contract,Mid-Senior level,Some College,Marketing,Finance,1,1,1,0
1290,QA Engineer,Orion Data Labs is a leading technology company established in 2015 with a team of 3199 professionals.,"An exciting opportunity for a talented QA Engineer to join our engineering team. You will architect and develop solutions for complex business problems, mentor junior team members, and contribute to best practices and coding standards.",Master's or Bachelor's degree in a technical field. 2-5 years of industry experience. Hands-on experience with cloud platforms (AWS/GCP/Azure). Strong understanding of data structures and algorithms. Team player with good interpersonal skills.,Attractive CTC with annual increments. Medical insurance for family. Flexible work-from-home policy. Career growth opportunities. Team outings and company events.,Remote,Internship,Not Applicable,Some College,Engineering,Sales,0,1,1,0
1274,Software Engineer,Vertex Technologies is a leading technology company established in 2016 with a team of 4420 professionals.,"As a Software Engineer, you will design and implement robust systems that serve millions of users. We value innovation, teamwork, and continuous learning. You will have the opportunity to work with cutting-edge technologies in a collaborative environment.","Bachelor's degree in Computer Science or related field. 3+ years of relevant experience. Proficiency in Python, Java, or related technologies. Strong analytical and problem-solving skills. Excellent communication abilities.","Competitive salary and performance bonuses. Health, dental, and vision insurance. Flexible working hours and remote options. Professional development budget. Annual paid leave and sick days.","Hyderabad, India",Part-time,Executive,Master's Degree,Information Technology,Sales,1,1,1,0
939,Financial Analyst,Apex Digital is a leading technology company established in 2001 with a team of 3315 professionals.,"Join our growing team as a Financial Analyst. In this role, you will work closely with stakeholders to deliver high-quality products. You will participate in the full software development lifecycle, from requirements gathering to deployment and maintenance.",Proven experience in a similar role. Strong portfolio demonstrating past work. Familiarity with agile methodologies. Experience with version control systems like Git. Ability to work in a fast-paced environment.,Market-leading compensation. Employee stock options. Comprehensive health coverage. Learning and development opportunities. Modern office with recreational facilities.,"Bangalore, India",Internship,Mid-Senior level,Bachelor's Degree,Education,Operations,0,1,1,0
1732,Commission Only Sales Agent,,Are you tired of your 9-5 job? Do you want FINANCIAL FREEDOM? This is the PERFECT opportunity for you! We offer guaranteed income with NO risk. Just complete easy online tasks and get PAID DAILY. We accept everyone regardless of experience or education. Join our team of THOUSANDS of successful members!,,Earn money fast! Daily payouts! No boss! No commute!,Remote,Contract,Entry level,,Marketing,Business Development,1,0,1,1
66,Project Manager,Sapient Global is a leading technology company established in 2001 with a team of 1717 professionals.,"As a Project Manager, you will design and implement robust systems that serve millions of users. We value innovation, teamwork, and continuous learning. You will have the opportunity to work with cutting-edge technologies in a collaborative environment.",Master's or Bachelor's degree in a technical field. 2-5 years of industry experience. Hands-on experience with cloud platforms (AWS/GCP/Azure). Strong understanding of data structures and algorithms. Team player with good interpersonal skills.,Market-leading compensation. Employee stock options. Comprehensive health coverage. Learning and development opportunities. Modern office with recreational facilities.,"New York, NY",Internship,Entry level,Bachelor's Degree,Engineering,Human Resources,0,1,0,0
1324,Product Manager,NexGen Software is a leading technology company established in 2005 with a team of 1770 professionals.,"An exciting opportunity for a talented Product Manager to join our engineering team. You will architect and develop solutions for complex business problems, mentor junior team members, and contribute to best practices and coding standards.","Bachelor's degree in Computer Science or related field. 3+ years of relevant experience. Proficiency in Python, Java, or related technologies. Strong analytical and problem-solving skills. Excellent communication abilities.","Competitive salary and performance bonuses. Health, dental, and vision insurance. Flexible working hours and remote options. Professional development budget. Annual paid leave and sick days.","Delhi, India",Part-time,Not Applicable,High School,Engineering,Engineering,0,1,1,0
